KTS	S	FD	KD	LT
2	1	-842150451	842150452	1
2	4	-842150451	842150452	1
2	5	-842150451	842150452	1
3	3	-842150451	842150453	2
3	7	-842150451	842150452	1
3	2	-842150451	842150453	2
3	6	-842150451	842150452	1
4	8	-842150451	842150452	1
6	15	-842150451	842150452	1
6	16	-842150451	842150452	1
6	9	-842150451	842150453	2
6	13	-842150451	842150452	1
6	18	-842150451	842150452	1
6	17	-842150451	842150452	1
6	19	-842150451	842150452	1
6	14	-842150451	842150452	1
6	11	-842150451	842150452	1
6	20	-842150451	842150452	1
7	12	-842150451	842150453	2
7	22	-842150451	842150452	1
7	23	-842150451	842150452	1
8	21	-842150451	842150453	2
8	10	-842150451	842150454	3
9	25	-842150451	842150452	1
10	24	-842150451	842150453	2
